fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
InN-Olf,0.005245032045216524,0.0,2471,HZ12M05,STR,HZ12M05_coorect_STR
InN-Erbb4,0.002588329810917963,1.5708091719566434e-41,504,HZ12M05,STR,HZ12M05_coorect_STR
InN-Sncg,0.0017145383618897999,1.1342913446543339e-33,514,HZ12M05,STR,HZ12M05_coorect_STR
InN-Sst,0.00037633015826614446,2.198645564475761e-12,728,HZ12M05,STR,HZ12M05_coorect_STR
InN-Pvalb,-0.003537088644278767,0.6413445921163712,259,HZ12M05,STR,HZ12M05_coorect_STR
InN-Calb2,-0.00396265084425043,0.08062819142894691,154,HZ12M05,STR,HZ12M05_coorect_STR
InN-Vip,-0.008910368544303337,0.07216579888381973,76,HZ12M05,STR,HZ12M05_coorect_STR
InN-Lamp5,-0.01175771899097833,0.7665589398698249,91,HZ12M05,STR,HZ12M05_coorect_STR
InN-Calb2,0.005378080137941866,0.0,3837,HZ12M06,BF,HZ12M06_coorect_BF
InN-Erbb4,0.004188366411477337,1.9572921231741886e-233,1125,HZ12M06,BF,HZ12M06_coorect_BF
InN-Pvalb,0.00342014525161231,1.3006013523449894e-39,413,HZ12M06,BF,HZ12M06_coorect_BF
InN-Olf,0.003348688946583691,1.350172843360112e-26,356,HZ12M06,BF,HZ12M06_coorect_BF
InN-Sncg,0.002811999520943245,2.010278906376817e-111,900,HZ12M06,BF,HZ12M06_coorect_BF
InN-Lamp5,0.001394060309923693,1.4727450903746253e-08,86,HZ12M06,BF,HZ12M06_coorect_BF
InN-Sst,-0.0020348570371752943,0.0015293030178641545,204,HZ12M06,BF,HZ12M06_coorect_BF
InN-Vip,-0.0379798059350574,0.4338313771797707,22,HZ12M06,BF,HZ12M06_coorect_BF
InN-Sst,-0.004767785628158705,0.5159932243006791,185,HZ12M06,ECT,HZ12M06_coorect_ECT
InN-Sncg,-0.007458961736220679,0.10065163202278121,99,HZ12M06,ECT,HZ12M06_coorect_ECT
InN-Olf,-0.013079124690414085,0.8065781395654701,74,HZ12M06,ECT,HZ12M06_coorect_ECT
InN-Erbb4,-0.014933503317489247,0.7614314369935233,72,HZ12M06,ECT,HZ12M06_coorect_ECT
InN-Pvalb,-0.01624935872763501,0.4420845211650605,72,HZ12M06,ECT,HZ12M06_coorect_ECT
InN-Calb2,-0.018857530839088293,0.016040899242485123,31,HZ12M06,ECT,HZ12M06_coorect_ECT
