,Moran's I,P-value,num_cell,sample_region,sample,region,month
Olig,-0.16688623648120057,0.6817335635748858,20.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
Endo,-0.1952841268830083,0.4441691390516145,53.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M
Peri,0.10185558214037109,0.016208841925626948,555.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
SMC,0.0924509233462139,0.001374706810871742,914.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
ExN,0.07542587990552103,1.8421483005735028e-60,11306.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
Micro,0.05442853799229135,0.009401366000205795,1179.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
Astro,0.04101419950046025,2.2399758850629507e-05,3770.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
InN,0.03931477498331099,0.23481927339104458,822.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
MSN,0.013840657065672,0.8666336982430903,245.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
Endo,-0.011411918187028396,0.9162093114881709,291.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
Olig,-0.04650206228591248,0.1870140589917677,442.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
OPC,-0.08728293469771341,0.4158377418814748,240.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M
SMC,0.46691777406440343,3.4587167419133603e-59,1449.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
ExN,0.21714414300918689,0.0,20851.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
Peri,0.17098949030576027,0.0001020903215052666,753.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
Astro,0.1502796793598588,6.725466262047216e-36,4138.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
Endo,0.12551608251080648,0.004483217374664666,821.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
InN,0.09911354434512852,1.0556245265748139e-21,5673.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
MSN,0.09747649496945893,0.028954934952278057,909.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
Micro,0.08248390584238618,7.057262645691986e-10,2558.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
OPC,0.05559422702752434,0.3295604854358527,687.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
Olig,-0.025051993937866092,0.10986928397626872,1767.0,HZ12M04_Prefrontal cortex,HZ12M04,Prefrontal cortex,12M
MSN,0.42178217194936335,0.017196424855413305,104.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
SMC,0.22784411522161047,4.1456645064550316e-10,713.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
OPC,0.15094801900373048,0.185956311519751,175.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
Endo,0.14117958574064324,0.19853823972113416,167.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
ExN,0.12726911729059287,7.150682385720666e-35,3547.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
Olig,0.07156556795083416,7.710044637372934e-05,1086.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
Astro,0.06381781185821031,0.000641896204628368,1466.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
Micro,0.05606371585231526,0.027330525403393497,743.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
InN,0.03952081668329257,0.0459275282920884,1619.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
Peri,-0.0012620354107668863,0.9735937366311022,259.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M
Micro,0.5686225247377473,1.9520049311283176e-52,609.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
Astro,0.4118046565292031,4.27064425595641e-171,2410.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
SMC,0.2707332647514523,2.5011389276432954e-10,629.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
Peri,0.2658758391563083,1.5065372223333747e-05,394.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
Olig,0.24473622643708348,3.7644958475869257e-19,648.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
OPC,0.18422529770291396,1.7344445965857507e-05,637.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
Endo,0.18040706339481122,8.23273580924287e-07,762.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
MSN,0.12627733322318044,3.0849010878272943e-07,990.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
InN,0.11409809571374693,4.678815522374869e-09,1725.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
ExN,0.08923516479958073,6.3433598888433885e-06,1589.0,HZ12M04_Striatum,HZ12M04,Striatum,12M
ExN,0.2904790475371882,0.0,8946.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
SMC,0.2781987237208055,3.75756604163777e-39,2551.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
InN,0.2247879839751744,1.9803682140454051e-122,5902.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
Astro,0.16055985413035026,6.57399507557789e-123,8542.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
Endo,0.12022169552128695,0.01704504719906243,814.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
OPC,0.11046362708438745,0.0007882486663573702,1335.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
Peri,0.10807044997791254,0.0003463654625141521,1494.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
Micro,0.06701226393058769,1.9391151710944843e-07,2987.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
MSN,0.039058473699076744,0.6374729548537237,418.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
Olig,0.012391516556024735,0.3679277435851922,2413.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M
InN,0.22428876461087519,1.4065568859430998e-91,3592.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
OPC,0.1567937083414208,0.027329805793188614,361.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
Peri,0.13883405549807376,0.0028520753461321827,620.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
SMC,0.12131319495641746,6.066095083748021e-08,1507.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
Endo,0.09969516366926942,0.12812868511087028,378.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
Micro,0.06460598916162144,0.023892900944105164,728.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
Astro,0.06090961083147414,1.0939666790581737e-05,2393.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
ExN,0.05211992276986393,0.005688622477643773,1826.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
Olig,0.036542077029574106,0.1256668907745023,875.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
MSN,-0.1099003030685715,0.7482492633108541,35.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M
ExN,0.2510340828982382,0.08660724808717356,53.0,HZ12M05_Hippocampal formation,HZ12M05,Hippocampal formation,12M
Astro,0.0958364729843238,0.34714252482864516,34.0,HZ12M05_Hippocampal formation,HZ12M05,Hippocampal formation,12M
Olig,0.07585923686024253,0.3658558218899345,49.0,HZ12M05_Hippocampal formation,HZ12M05,Hippocampal formation,12M
SMC,0.33316348335914997,2.1989514267826275e-32,1723.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
Peri,0.2432713637131384,3.761731573979041e-12,1118.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M
