celltype,Moran's I,P-value,num_cell,id,month
OPC,0.005538774971134562,1.6186241553278975e-194,833,HZ6M04_BF,6
Astro,0.005058787700940268,0.0,2905,HZ6M04_BF,6
ExN,0.00489564830279054,0.0,1469,HZ6M04_BF,6
Olig,0.004077544449201788,0.0,3846,HZ6M04_BF,6
Peri,0.00393720947522841,0.0,1893,HZ6M04_BF,6
InN,0.003128737092874422,0.0,6031,HZ6M04_BF,6
Endo,0.0026951220635623168,5.974852635497182e-37,556,HZ6M04_BF,6
SMC,-4.7152385823826784e-05,4.1474924967975713e-07,310,HZ6M04_BF,6
InN,0.0018412014838524572,0.0,4771,HZ6M05_BF,6
Olig,0.0016944259741475628,9.097870067723413e-60,1985,HZ6M05_BF,6
ExN,0.0011021695056464094,8.392737092724465e-25,1049,HZ6M05_BF,6
Astro,0.000804273081642629,1.204639883578974e-32,2426,HZ6M05_BF,6
SMC,3.6826403428722906e-05,9.562937068549405e-06,309,HZ6M05_BF,6
Endo,-0.00018552377541065403,1.933320773536918e-05,537,HZ6M05_BF,6
Peri,-0.00022357198466397955,0.0007735550739093688,1319,HZ6M05_BF,6
Micro,0.027104065995741052,0.0,877,HZ6M06_BF,6
InN,0.004087309997428989,0.0,4658,HZ6M06_BF,6
Olig,0.0035859004677295443,0.0,3275,HZ6M06_BF,6
Astro,0.0033011751890885165,3.5926261863570666e-263,2676,HZ6M06_BF,6
SMC,0.003181125392525537,1.1397732866494158e-25,594,HZ6M06_BF,6
Peri,0.0031345029896606884,3.783224901719977e-103,1289,HZ6M06_BF,6
ExN,0.0026376339324715643,4.890387554445335e-89,1149,HZ6M06_BF,6
Endo,0.00037256272072723104,8.43003983987452e-06,406,HZ6M06_BF,6
OPC,4.635027707909623e-05,1.6247206199887585e-06,688,HZ6M06_BF,6
InN,0.010415955949867035,0.0,6341,HZ6MP101_BF,6
SMC,0.005951668904312638,5.4847902710492364e-18,259,HZ6MP101_BF,6
ExN,0.003342389772280183,4.537375496706662e-92,1151,HZ6MP101_BF,6
Endo,0.0029904242876628777,2.0555943349644473e-17,322,HZ6MP101_BF,6
Peri,0.002726076375070586,8.448768401985215e-96,1386,HZ6MP101_BF,6
OPC,0.001203135883846953,7.832499640487707e-10,356,HZ6MP101_BF,6
Olig,0.0009161286507296432,1.0029353492064395e-36,2652,HZ6MP101_BF,6
Astro,0.000742366750891753,1.152779491466846e-32,2770,HZ6MP101_BF,6
Micro,0.0369664661804539,0.0,617,HZ6MP102_BF,6
InN,0.015212675937459829,0.0,6741,HZ6MP102_BF,6
Astro,0.010850213190853619,0.0,1759,HZ6MP102_BF,6
Endo,0.009129072408440205,8.566939160087217e-92,336,HZ6MP102_BF,6
Peri,0.00819291695550881,0.0,1370,HZ6MP102_BF,6
Olig,0.005150469110833569,6.755837696511456e-261,1662,HZ6MP102_BF,6
SMC,0.0038388948207976935,3.989485458548092e-12,289,HZ6MP102_BF,6
OPC,0.0032066245566480306,2.0996469921603224e-31,519,HZ6MP102_BF,6
ExN,0.001533741512649591,2.2881691766326995e-17,481,HZ6MP102_BF,6
ExN,0.020087937849222203,0.0,983,HZ6MP202_BF,6
InN,0.004355184262747774,0.0,8794,HZ6MP202_BF,6
Olig,0.0032864152403038497,0.0,3325,HZ6MP202_BF,6
Micro,0.002291381027291633,4.05669092051983e-08,834,HZ6MP202_BF,6
Peri,0.0015330834956579851,2.408047738069985e-33,1414,HZ6MP202_BF,6
Astro,0.0014781179460416865,2.0667262737315425e-54,2548,HZ6MP202_BF,6
OPC,0.00029373100624318976,2.681890935861959e-06,689,HZ6MP202_BF,6
Endo,-0.0013000309730438375,0.030250464288951655,316,HZ6MP202_BF,6
Micro,0.009386806914426286,4.952517077177359e-75,698,HZ8M01_BF,8
InN,0.00816916079503143,0.0,7352,HZ8M01_BF,8
